"registro_id","url","title","word_count"
"541","https://www.boatos.org/entretenimento/os-simpsons-previram-a-morte-do-papa-francisco-em-2025.html","Vídeo sobre “previsão dos Simpsons” de morte do papa é criação com IA que não tem relação com a série","661"
"542","https://www.boatos.org/entretenimento/outubro-rosa-wine-da-vinhos-gratis-para-quem-acertar-desafio-do-quiz.html","Golpe cita Outubro Rosa da Wine, vinhos grátis e usa vídeo de Juliana Paes e Ana Maria Braga dublados com IA","629"
"543","https://www.boatos.org/entretenimento/pabllo-vittar-lei-rouanet-2018.html","Pabllo Vittar vai ganhar R$ 5 milhões da Lei Rouanet em 2018 #boato","584"
"544","https://www.boatos.org/entretenimento/paul-mccartney-visitou-phil-collins-no-hospital-e-cantou-yesterday.html","Imagem de Paul McCartney tocando violão para Phil Collins no hospital é falsa","570"
"545","https://www.boatos.org/entretenimento/paul-walker-esta-vivo-boato-diz-que-ator-nao-morreu-em-acidente.html","Paul Walker está vivo: boato diz que ator não morreu em acidente","477"
"546","https://www.boatos.org/entretenimento/paula-fernandes-quebrou-imagem-de-nossa-senhora-aparecida-apos-receber-presente-de-padre.html","É falso que Paula Fernandes quebrou imagem de Nossa Senhora Aparecida recebida de padre","712"
"547","https://www.boatos.org/entretenimento/paula-fernandes-revela-que-tem-poucos-dias-de-vida-e-esta-doente.html","É falso que Paula Fernandes tenha revelado que “tem poucos dias de vida” e que está doente","548"
"548","https://www.boatos.org/entretenimento/paulo-gustavo-morreu-decorrencia-covid-19.html","Paulo Gustavo morreu hoje em decorrência da Covid-19 #boato","587"
"549","https://www.boatos.org/entretenimento/pedro-cardoso-disse-que-o-stf-tem-que-prender-bolsonaro-com-maca-e-tudo.html","Não há indícios de que Pedro Cardoso tenha pedido prisão de Bolsonaro “com maca e tudo”","522"
"550","https://www.boatos.org/entretenimento/pianista-japones-nobuyuki-tsujii-tem-sindrome-de-down.html","Pianista japonês Nobuyuki Tsujii tem síndrome de down #boato","666"
"551","https://www.boatos.org/entretenimento/piloto-do-aviao-que-levava-marilia-mendonca-se-vacinou-um-dia-antes-da-tragedia-boato.html","Piloto do avião que levava Marília Mendonça se vacinou um dia antes da tragédia #boato","183"
"552","https://www.boatos.org/entretenimento/pink-floyd-nova-turne-shows-brasil.html","Pink Floyd anuncia nova turnê, com shows no Brasil #boato","454"
"553","https://www.boatos.org/entretenimento/prefeitura-do-rio-de-janeiro-gastou-r-60-milhoes-em-show-de-madonna.html","Gasto de prefeitura do Rio de Janeiro com o show de Madonna não foi de R$ 60 milhões","544"
"554","https://www.boatos.org/entretenimento/preta-gil-aparece-em-video-chorando-de-dor-e-implorando-para-nao-morrer.html","Vídeos atribuídos a Preta Gil chorando de dor em hospital são falsos","525"
"555","https://www.boatos.org/entretenimento/preta-gil-morreu-aos-49-anos-de-idade.html","Fakes sobre morte de Preta Gil se espalham em redes sociais de vídeos","356"
"556","https://www.boatos.org/entretenimento/preta-gil-zombou-de-bolsonaro-por-causa-de-bolsa-de-colostomia-e-sofreu-castigo.html","É falso que Preta Gil tenha zombado de Bolsonaro e o chamado de “saco de b…” por causa de bolsa de colostomia","701"
"557","https://www.boatos.org/entretenimento/priscila-fantin-morre-39-anos-apos-internada-pressas.html","Priscila Fantin morre aos 39 anos após ser internada às pressas #boato","364"
"558","https://www.boatos.org/entretenimento/pt-construiu-teatro-r-20-milhoes-cidade-crisopolis-ba.html","PT construiu teatro de R$ 20 milhões na cidade de Crisópolis (BA) #boato","894"
"559","https://www.boatos.org/entretenimento/ratinho-vai-entrevistar-bolsonaro-quinta-feira-para-falar-das-coisas-boas-brasil.html","Ratinho vai entrevistar Bolsonaro quinta-feira, em 2022, para falar das “coisas boas” do Brasil #boato","692"
"560","https://www.boatos.org/entretenimento/regina-duarte-carta-artistas-nota-repudio.html","Regina Duarte escreve carta aos 500 artistas que assinaram nota de repúdio #boato","792"
"561","https://www.boatos.org/entretenimento/renata-vasconcellos-demitida-globo-tristeza-altas-horas.html","Renata Vasconcellos foi demitida da Globo antes de “expor tristeza” no Altas Horas #boato","522"
"562","https://www.boatos.org/entretenimento/renata-vasconcellos-testou-positivo-para-covid-19.html","Renata Vasconcellos testou positivo para Covid-19 (coronavírus) #boato","596"
"563","https://www.boatos.org/entretenimento/renato-aragao-didi-agrediu-a-sua-esposa-por-causa-de-alcool.html","Renato Aragão (Didi) é alvo de vídeo falso por IA que simula agressão contra a esposa por causa de álcool","664"
"564","https://www.boatos.org/entretenimento/renato-aragao-didi-esta-com-alzheimer-e-nao-reconhece-familiares.html","É falso que Renato Aragão (Didi) esteja com Alzheimer e não reconheça familiares","472"
"565","https://www.boatos.org/entretenimento/renato-aragao-didi-morreu-infarto-outubro-2023.html","É falso que Renato Aragão (Didi) morreu por conta de um infarto em outubro de 2023","377"
"566","https://www.boatos.org/entretenimento/richard-gere-disse-nao-ha-tempo-para-mais-nada-ninguem-escapa-vivo-desse-mundo.html","Richard Gere disse “não há tempo para mais nada” e “ninguém escapa vivo desse mundo” #boato","492"
"567","https://www.boatos.org/entretenimento/rita-lee-escreve-texto-13-anos-fortaleza-ouvi-gritos-pavor.html","Rita Lee escreve texto que começa com “Eu tinha 13 anos, em Fortaleza, quando ouvi gritos de pavor” #boato","1039"
"568","https://www.boatos.org/entretenimento/rita-lee-morreu-perda-confirmada-marco-2023.html","Rita Lee morreu e perda é confirmada em março de 2023 #boato","544"
"569","https://www.boatos.org/entretenimento/roberto-carlos-morreu-aos-86-anos-em-dezembro-de-2025.html","Mais uma vez, fake news que aponta que Roberto Carlos morreu circula na internet","967"
"570","https://www.boatos.org/entretenimento/roberto-carlos-morreu-em-um-acidente-de-carro-em-dezembro-de-2024.html","Canais do TikTok criam vídeos com IA para espalhar fake de que Roberto Carlos morreu","530"
"571","https://www.boatos.org/entretenimento/roberto-carlos-passou-mal-na-beira-da-estrada-e-foi-ajudado-por-mulher-simples.html","História que aponta que Roberto Carlos passou mal em estrada e foi salvo por mulher simples é falsa","706"
